VEL_PROM_VIENTO,DIR_PROM_VIENTO,DISTANCIA_MTS,TIEMPO_MINUTOS
4.7,236.66,1330,5.0
5.35,73.53,1310,5.5
6.08,100.42,1310,5.6
11.92,54.58,1400,7.0
11.79,184.58,1250,4.5
29.54,203.33,1150,8.0
14.29,175.83,1230,6.0
9.42,230.83,1280,4.8
7.12,148.33,1320,4.7
16.08,145.0,1220,6.5
15.21,120.83,1225,6.6
11.79,184.58,1675,8
7.12,148.33,1510,7.5
29.54,203.33,1620,10
6.08,100.42,1570,7.45
14.29,175.83,1650,8.2
15.21,120.83,1605,8.2
5.35,73.53,1590,8
16.08,145.00,1540,7.8
4.7,236.66,1525,7.2
9.42,230.83,1690,10
11.92,54.58,1610,9.5
